Time	Time Code	Country Name	Country Code	CO2 emissions	Mortality_diseases	under_five_deaths	Water_use	Suicide_rate	measles_immunization
2010	YR2010	Ireland	IRL	8.78361393417548	11.2	302	98.1053756784395	12	90
2010	YR2010	Isle of Man	IMN						
2010	YR2010	Israel	ISR	9.03522325410567	10.1	707	100	7.3	96
2010	YR2010	Italy	ITA	6.83837457020099	10.3	2159	100	7.5	91
2010	YR2010	Jamaica	JAM	2.5902683860983	15.3	939	92.3041153852628	2	89
2010	YR2010	Japan	JPN	9.14831603810416	9.5	3534	98.7321656050956	24.4	94
2010	YR2010	Jordan	JOR	2.94896155736461	20.7	4282	98.9000179809222	2.8	98
2010	YR2010	Kazakhstan	KAZ	15.2279873289044	32.9	7439	89.6227637392442	32.7	99
2010	YR2010	Kenya	KEN	0.294423101516048	13.4	83411	54.6184710902811	3.1	86
2010	YR2010	Kiribati	KIR	0.607284806920469	28.8	191	63.6298581215144	14.5	89
2010	YR2010	Korea, Dem. People’s Rep.	PRK	2.70227950610288	27.3	10446	99.6532429984149	11.9	99
2010	YR2010	Korea, Rep.	KOR	11.4363166269633	10.6	1860	99.0018852328866	34.1	98
2010	YR2010	Kosovo	XKX						
2010	YR2010	Kuwait	KWT	29.8941513627208	19.3	622	100	1.9	98
2010	YR2010	Kyrgyz Republic	KGZ	1.1718730152903	27.8	4020	84.8351783566556	11.3	99
2010	YR2010	Lao PDR	LAO	0.262420284476794	27.9	13265	69.5951781305581	8.9	64
2010	YR2010	Latvia	LVA	3.84959345523717	25.8	174	98.2556103576703	22.7	95
2010	YR2010	Lebanon	LBN	4.6222820517018	18.1	617	89.9702616784313	3.2	79
2010	YR2010	Lesotho	LSO	1.11597651810712	27	5665	69.8651558212517	20.1	88
2010	YR2010	Liberia	LBR	0.200619787873991	18	13756	67.2395327933893	6.5	65
2010	YR2010	Libya	LBY	10.043749858165	20.7	2148	96.75	5.4	98
2010	YR2010	Liechtenstein	LIE	1.52778935088743			100		
2010	YR2010	Lithuania	LTU	4.34861630293916	23.6	189	95.285240257557	37.3	96
2010	YR2010	Luxembourg	LUX	21.6351358015437	11.5	17	99.942735	12.9	96
2010	YR2010	Macao SAR, China	MAC	2.62236367462554			100		
2010	YR2010	Macedonia, FYR	MKD	4.15445017455121	23	239	96.6590384555543	5.9	98
2010	YR2010	Madagascar	MDG	0.0925780695964946	24.5	44973	45.6658622962621	4.3	66
2010	YR2010	Malawi	MWI	0.0754332982024574	17.5	52748	62.004337320572	3.8	93
2010	YR2010	Malaysia	MYS	7.77155474604007	18.2	3691	96.9162150141119	5.1	95
2010	YR2010	Maldives	MDV	2.56531352963285	16.7	92	98.1916411197459	3.2	97
2010	YR2010	Mali	MLI	0.0639744983195783	25	90657	66.0617665863507	4.8	78
2010	YR2010	Malta	MLT	6.17494957877773	11.2	26	100	8	73
2010	YR2010	Marshall Islands	MHL	1.95853123509776		66	78.545850267		97
2010	YR2010	Mauritania	MRT	0.619710029773852	17.9	12341	64.7565731043737	3.9	67
2010	YR2010	Mauritius	MUS	3.13208253358925	24.1	231	99.726808241543	8.1	99
2010	YR2010	Mexico	MEX	3.95765766416183	16.3	40526	95.4643209096724	4.6	95
2010	YR2010	Micronesia, Fed. Sts.	FSM	1.09709890364422	26.4	101	89.051416	11.1	80
2010	YR2010	Moldova	MDA	1.38463017732791	29.5	773	85.8734367734457	20.9	97
2010	YR2010	Monaco	MCO			2	100		92
2010	YR2010	Mongolia	MNG	5.09498940150775	32.3	1684	78.0364673361468	16.6	97
2010	YR2010	Montenegro	MNE	4.16766436131399	22.1	53	96.015816692862	10.4	90
2010	YR2010	Morocco	MAR	1.72659806547058	13.8	21826	77.0449763571439	3.7	98
2010	YR2010	Mozambique	MOZ	0.11294068201246	20.3	100161	38.6959132863291	5.6	82
2010	YR2010	Myanmar	MMR	0.249531401054026	25.1	64848	63.3106655012845	7.3	88
2010	YR2010	Namibia	NAM	1.42753765236958	23.2	3417	78.1194434133679	10.4	75
2010	YR2010	Nauru	NRU	4.38942643391521		6	99.0474338109791		99
2010	YR2010	Nepal	NPL	0.187128274559686	23.8	29763	85.1499494842423	10.5	86
2010	YR2010	Netherlands	NLD	11.0170708560989	12.5	810	100	10	96
2010	YR2010	New Caledonia	NCL	14.1834714714715			97.2661615447213		
2010	YR2010	New Zealand	NZL	7.3050058611258	11.8	390	100	13	91
2010	YR2010	Nicaragua	NIC	0.790571277142518	15.4	2883	81.6232050616827	12.5	99
2010	YR2010	Niger	NER	0.0714397995613914	20.8	95709	43.0857699740908	4.9	67
